outfit_id,top,bottom,shoes,top_color,bottom_color,shoe_color,top_fit,bottom_fit,shoe_fit,style_category,STYLE_SCORE,COLOR_SCORE,FIT_SCORE,final_score,label
O00844,black hoodie,cargo pants,oxfords,blue,navy,navy,tailored,tailored,tailored,sport,0.36,0.92,0.87,0.68,average
O00845,navy blazer,shorts,sandals,navy,blue,gray,tailored,slim,slim,streetwear,0.52,0.92,0.71,0.7,average
O00846,sweater,skirt,loafers,black,white,blue,tailored,tailored,slim,streetwear,0.81,0.86,0.53,0.74,good
O00847,turtleneck,track pants,boots,brown,red,black,baggy,regular,slim,minimal,0.34,0.91,0.44,0.54,bad
O00848,turtleneck,shorts,sandals,white,black,red,tailored,tailored,tailored,business,0.84,0.53,0.67,0.7,average
O00849,turtleneck,skirt,loafers,black,red,red,oversized,baggy,tailored,minimal,0.76,0.59,0.63,0.67,average
O00850,turtleneck,track pants,heels,navy,blue,navy,slim,baggy,tailored,minimal,0.41,0.56,0.4,0.45,bad
O00851,flannel,trousers,heels,white,red,beige,oversized,oversized,slim,casual,0.7,0.81,0.93,0.8,good
O00852,tank top,trousers,sandals,blue,red,blue,regular,oversized,oversized,sport,0.76,0.92,0.95,0.86,good
O00853,sweater,cargo pants,heels,navy,beige,black,regular,baggy,oversized,sport,0.4,0.48,0.4,0.42,bad
O00854,tank top,chinos,sandals,brown,navy,white,baggy,slim,baggy,minimal,0.36,0.48,0.7,0.5,bad
O00855,graphic tee,track pants,heels,white,red,navy,slim,regular,regular,business,0.55,0.51,0.94,0.66,average
O00856,white tee,trousers,loafers,green,brown,black,tailored,baggy,baggy,sport,0.84,0.69,0.87,0.8,good
O00857,denim jacket,trousers,sneakers,blue,navy,navy,oversized,tailored,slim,minimal,0.93,0.72,0.41,0.71,average
O00858,polo,cargo pants,boots,green,green,black,baggy,slim,baggy,casual,0.63,0.75,0.72,0.69,average
O00859,denim jacket,skirt,heels,blue,black,white,tailored,baggy,oversized,streetwear,0.84,0.63,0.62,0.71,average
O00860,denim jacket,cargo pants,oxfords,gray,gray,green,tailored,regular,baggy,minimal,0.76,0.8,0.45,0.68,average
O00861,linen shirt,track pants,heels,green,gray,navy,slim,oversized,tailored,streetwear,0.76,0.94,0.51,0.74,good
O00862,denim jacket,skirt,loafers,brown,blue,blue,slim,oversized,oversized,minimal,0.73,0.62,0.42,0.6,average
O00863,graphic tee,chinos,sandals,blue,green,beige,tailored,regular,regular,business,0.49,0.43,0.61,0.51,bad
O00864,polo,trousers,oxfords,beige,blue,beige,oversized,tailored,baggy,business,0.84,0.55,0.92,0.78,good
O00865,linen shirt,track pants,oxfords,beige,gray,green,slim,tailored,baggy,business,0.36,0.94,0.75,0.65,average
O00866,sweater,jeans,sandals,beige,blue,white,tailored,oversized,oversized,sport,0.89,0.55,0.77,0.75,good
O00867,flannel,jeans,loafers,gray,black,white,baggy,tailored,tailored,streetwear,0.49,0.81,0.77,0.67,average
O00868,linen shirt,trousers,sneakers,red,black,black,oversized,slim,tailored,casual,0.74,0.8,0.79,0.77,good
O00869,black hoodie,cargo pants,loafers,green,white,brown,baggy,slim,regular,casual,0.56,0.48,0.49,0.52,bad
O00870,turtleneck,cargo pants,sneakers,brown,blue,white,tailored,regular,slim,sport,0.35,0.91,0.65,0.61,average
O00871,turtleneck,chinos,sandals,beige,red,white,slim,oversized,tailored,sport,0.65,0.7,0.57,0.64,average
O00872,black hoodie,cargo pants,oxfords,black,gray,brown,baggy,tailored,tailored,streetwear,0.3,0.83,0.94,0.65,average
O00873,graphic tee,trousers,oxfords,navy,black,brown,baggy,slim,baggy,streetwear,0.5,0.46,0.72,0.55,bad
O00874,sweater,chinos,sandals,beige,white,brown,tailored,slim,tailored,sport,0.38,0.43,0.94,0.56,average
O00875,white tee,track pants,oxfords,black,beige,green,regular,oversized,oversized,minimal,0.43,0.94,0.52,0.61,average
O00876,black hoodie,trousers,heels,white,white,navy,tailored,regular,baggy,sport,0.9,0.69,0.95,0.85,good
O00877,turtleneck,chinos,heels,white,green,brown,regular,regular,slim,streetwear,0.6,0.77,0.6,0.65,average
O00878,sweater,jeans,boots,beige,blue,white,regular,baggy,slim,sport,0.61,0.85,0.78,0.73,good
O00879,linen shirt,shorts,boots,red,blue,navy,oversized,baggy,baggy,minimal,0.73,0.48,0.72,0.65,average
O00880,denim jacket,shorts,sneakers,red,navy,brown,regular,regular,tailored,streetwear,0.37,0.8,0.84,0.64,average
O00881,tank top,trousers,heels,blue,green,gray,slim,oversized,baggy,streetwear,0.6,0.82,0.45,0.62,average
O00882,linen shirt,cargo pants,heels,beige,brown,red,tailored,baggy,oversized,business,0.4,0.88,0.76,0.65,average
O00883,sweater,shorts,oxfords,white,gray,beige,slim,oversized,regular,business,0.64,0.88,0.78,0.75,good
O00884,polo,shorts,loafers,white,green,blue,regular,regular,oversized,minimal,0.47,0.94,0.41,0.59,average
O00885,turtleneck,chinos,oxfords,red,green,blue,baggy,regular,tailored,casual,0.9,0.44,0.52,0.65,average
O00886,sweater,shorts,boots,beige,white,beige,tailored,oversized,tailored,business,0.62,0.62,0.66,0.63,average
O00887,black hoodie,chinos,sandals,brown,beige,navy,regular,regular,baggy,business,0.6,0.52,0.69,0.6,average
O00888,white tee,trousers,loafers,white,brown,black,slim,slim,slim,casual,0.89,0.53,0.69,0.72,average
O00889,denim jacket,shorts,sneakers,blue,navy,black,regular,tailored,regular,minimal,0.78,0.8,0.67,0.75,good
O00890,sweater,cargo pants,loafers,blue,brown,blue,baggy,slim,regular,streetwear,0.79,0.49,0.92,0.74,good
O00891,polo,jeans,boots,gray,black,brown,oversized,slim,tailored,business,0.54,0.61,0.73,0.62,average
O00892,flannel,chinos,sandals,black,brown,navy,regular,oversized,tailored,sport,0.9,0.79,0.75,0.82,good
O00893,tank top,trousers,sandals,brown,black,navy,regular,baggy,baggy,sport,0.33,0.42,0.84,0.51,bad
O00894,polo,track pants,boots,green,beige,black,slim,tailored,slim,casual,0.82,0.94,0.59,0.79,good
O00895,white tee,chinos,boots,black,green,blue,regular,slim,oversized,sport,0.55,0.43,0.82,0.59,average
O00896,tank top,trousers,oxfords,white,navy,white,tailored,regular,regular,casual,0.45,0.7,0.75,0.61,average
O00897,navy blazer,skirt,sandals,beige,beige,beige,slim,oversized,oversized,business,0.52,0.9,0.54,0.64,average
O00898,turtleneck,trousers,sneakers,blue,blue,beige,slim,baggy,oversized,business,0.61,0.58,0.77,0.65,average
O00899,graphic tee,shorts,sneakers,gray,black,blue,slim,baggy,oversized,streetwear,0.67,0.53,0.71,0.64,average
O00900,linen shirt,trousers,heels,green,white,blue,regular,tailored,slim,sport,0.52,0.55,0.89,0.64,average
O00901,polo,shorts,sandals,red,white,beige,regular,regular,baggy,sport,0.31,0.57,0.94,0.58,average
O00902,denim jacket,trousers,boots,navy,black,gray,slim,oversized,slim,casual,0.76,0.78,0.75,0.76,good
O00903,white tee,chinos,heels,red,blue,blue,oversized,tailored,regular,streetwear,0.94,0.72,0.42,0.72,average
O00904,white tee,shorts,sneakers,brown,white,navy,baggy,regular,regular,sport,0.94,0.95,0.66,0.86,good
O00905,flannel,jeans,oxfords,beige,beige,blue,tailored,oversized,baggy,sport,0.94,0.93,0.77,0.89,good
O00906,turtleneck,track pants,loafers,brown,black,beige,tailored,slim,regular,sport,0.55,0.67,0.89,0.69,average
O00907,turtleneck,skirt,boots,blue,brown,white,tailored,oversized,regular,minimal,0.92,0.72,0.5,0.73,good
O00908,polo,skirt,boots,gray,gray,blue,baggy,oversized,slim,minimal,0.39,0.64,0.42,0.47,bad
O00909,flannel,cargo pants,sneakers,blue,gray,green,slim,tailored,slim,business,0.88,0.65,0.79,0.78,good
O00910,white tee,jeans,heels,red,navy,black,baggy,slim,tailored,business,0.41,0.64,0.54,0.52,bad
O00911,navy blazer,track pants,loafers,brown,green,brown,oversized,regular,slim,minimal,0.78,0.45,0.57,0.62,average
O00912,flannel,trousers,boots,red,gray,navy,slim,oversized,baggy,casual,0.74,0.5,0.82,0.69,average
O00913,navy blazer,chinos,loafers,red,black,red,oversized,baggy,slim,minimal,0.8,0.4,0.88,0.7,average
O00914,sweater,cargo pants,boots,red,blue,blue,oversized,tailored,regular,streetwear,0.81,0.85,0.7,0.79,good
O00915,sweater,track pants,sandals,red,navy,red,oversized,baggy,regular,minimal,0.62,0.52,0.88,0.67,average
O00916,graphic tee,shorts,boots,black,blue,blue,slim,oversized,regular,casual,0.92,0.6,0.78,0.78,good
O00917,turtleneck,chinos,sandals,gray,blue,beige,tailored,oversized,slim,sport,0.4,0.66,0.51,0.51,bad
O00918,black hoodie,shorts,sneakers,white,navy,brown,regular,slim,tailored,minimal,0.42,0.68,0.79,0.61,average
O00919,polo,cargo pants,heels,navy,green,white,tailored,oversized,baggy,business,0.67,0.82,0.63,0.7,average
O00920,white tee,skirt,heels,gray,red,red,oversized,oversized,tailored,casual,0.65,0.93,0.4,0.66,average
O00921,turtleneck,chinos,heels,red,beige,brown,regular,regular,baggy,sport,0.92,0.47,0.73,0.73,good
O00922,tank top,chinos,boots,black,green,blue,baggy,slim,tailored,streetwear,0.4,0.61,0.66,0.54,bad
O00923,black hoodie,track pants,loafers,green,white,red,slim,tailored,tailored,minimal,0.55,0.53,0.78,0.61,average
O00924,tank top,chinos,loafers,green,white,white,slim,oversized,tailored,minimal,0.94,0.8,0.54,0.78,good
O00925,flannel,shorts,heels,black,beige,red,tailored,oversized,tailored,sport,0.81,0.46,0.7,0.67,average
O00926,turtleneck,trousers,boots,black,navy,gray,baggy,slim,oversized,casual,0.58,0.84,0.81,0.73,good
O00927,polo,chinos,boots,black,beige,green,baggy,slim,tailored,sport,0.78,0.46,0.44,0.58,average
O00928,turtleneck,cargo pants,heels,gray,red,navy,slim,oversized,slim,casual,0.43,0.82,0.77,0.65,average
O00929,navy blazer,chinos,loafers,red,beige,brown,tailored,slim,slim,minimal,0.75,0.88,0.54,0.73,good
O00930,graphic tee,skirt,heels,gray,red,brown,oversized,regular,slim,business,0.32,0.51,0.86,0.54,bad
O00931,navy blazer,shorts,sneakers,black,brown,brown,oversized,slim,oversized,business,0.39,0.6,0.91,0.61,average
O00932,white tee,skirt,sneakers,white,blue,red,slim,tailored,regular,sport,0.7,0.53,0.95,0.72,average
O00933,linen shirt,track pants,loafers,navy,brown,gray,regular,regular,tailored,casual,0.46,0.79,0.91,0.69,average
O00934,polo,skirt,boots,green,red,brown,tailored,slim,regular,streetwear,0.65,0.52,0.4,0.54,bad
O00935,linen shirt,chinos,oxfords,gray,black,beige,regular,tailored,slim,streetwear,0.91,0.46,0.46,0.64,average
O00936,graphic tee,cargo pants,sandals,beige,navy,green,slim,regular,tailored,streetwear,0.33,0.72,0.79,0.58,average
O00937,denim jacket,chinos,oxfords,brown,black,white,baggy,baggy,oversized,business,0.93,0.51,0.5,0.68,average
O00938,black hoodie,cargo pants,heels,black,gray,brown,tailored,oversized,tailored,casual,0.82,0.72,0.92,0.82,good
O00939,black hoodie,track pants,sandals,black,blue,black,oversized,baggy,slim,minimal,0.6,0.42,0.53,0.53,bad
O00940,tank top,chinos,boots,beige,gray,white,tailored,regular,tailored,casual,0.74,0.6,0.7,0.69,average
O00941,turtleneck,jeans,heels,navy,blue,green,regular,regular,baggy,business,0.32,0.82,0.92,0.65,average
O00942,navy blazer,jeans,sneakers,beige,green,blue,tailored,regular,regular,minimal,0.51,0.58,0.5,0.53,bad
O00943,polo,shorts,heels,brown,red,white,oversized,tailored,slim,minimal,0.83,0.65,0.9,0.8,good
O00944,linen shirt,shorts,oxfords,blue,green,beige,baggy,oversized,tailored,business,0.46,0.68,0.6,0.57,average
O00945,linen shirt,cargo pants,oxfords,green,gray,brown,baggy,oversized,slim,sport,0.38,0.85,0.88,0.67,average
O00946,navy blazer,jeans,sneakers,blue,red,beige,oversized,slim,oversized,streetwear,0.47,0.65,0.57,0.55,bad
O00947,sweater,chinos,loafers,brown,green,beige,tailored,baggy,tailored,sport,0.66,0.48,0.48,0.55,bad
O00948,graphic tee,cargo pants,heels,navy,navy,gray,tailored,regular,tailored,minimal,0.68,0.77,0.59,0.68,average
O00949,flannel,cargo pants,sandals,navy,green,brown,regular,slim,tailored,sport,0.5,0.61,0.47,0.52,bad
O00950,sweater,track pants,sneakers,beige,black,green,oversized,baggy,oversized,streetwear,0.34,0.46,0.87,0.54,bad
O00951,denim jacket,shorts,sandals,navy,white,brown,regular,baggy,tailored,streetwear,0.57,0.72,0.68,0.65,average
O00952,turtleneck,trousers,sandals,beige,red,gray,baggy,regular,tailored,minimal,0.88,0.85,0.85,0.86,good
O00953,linen shirt,cargo pants,sneakers,white,beige,navy,oversized,baggy,baggy,business,0.41,0.56,0.92,0.61,average
O00954,sweater,chinos,oxfords,black,black,beige,regular,slim,oversized,business,0.54,0.58,0.63,0.58,average
O00955,tank top,trousers,heels,gray,blue,white,slim,slim,slim,streetwear,0.43,0.95,0.88,0.72,average
O00956,polo,cargo pants,heels,black,beige,navy,slim,slim,oversized,streetwear,0.52,0.76,0.8,0.68,average
O00957,navy blazer,chinos,heels,gray,white,blue,regular,regular,slim,sport,0.4,0.47,0.72,0.52,bad
O00958,denim jacket,trousers,sandals,navy,beige,red,tailored,slim,oversized,business,0.61,0.52,0.76,0.63,average
O00959,flannel,trousers,sneakers,green,blue,brown,regular,slim,baggy,business,0.72,0.51,0.7,0.65,average
O00960,black hoodie,jeans,boots,red,black,white,slim,tailored,oversized,minimal,0.69,0.7,0.56,0.65,average
O00961,polo,trousers,loafers,beige,green,red,baggy,regular,regular,sport,0.82,0.92,0.86,0.86,good
O00962,linen shirt,jeans,boots,green,gray,red,tailored,baggy,oversized,casual,0.86,0.94,0.72,0.84,good
O00963,sweater,chinos,heels,blue,black,white,baggy,baggy,regular,streetwear,0.54,0.67,0.66,0.61,average
O00964,white tee,cargo pants,sneakers,brown,red,red,baggy,oversized,regular,casual,0.91,0.5,0.63,0.7,average
O00965,graphic tee,track pants,sneakers,blue,green,red,regular,oversized,regular,casual,0.57,0.62,0.95,0.7,average
O00966,navy blazer,shorts,sandals,black,beige,white,tailored,slim,regular,sport,0.91,0.52,0.65,0.72,average
O00967,denim jacket,cargo pants,oxfords,green,blue,black,tailored,regular,oversized,streetwear,0.35,0.45,0.58,0.45,bad
O00968,graphic tee,shorts,sandals,white,brown,beige,tailored,tailored,oversized,streetwear,0.52,0.71,0.59,0.6,average
O00969,navy blazer,cargo pants,heels,black,red,black,oversized,tailored,baggy,minimal,0.58,0.75,0.55,0.62,average
O00970,linen shirt,chinos,loafers,black,black,green,slim,slim,baggy,casual,0.67,0.45,0.61,0.59,average
O00971,flannel,track pants,sneakers,navy,white,white,slim,tailored,oversized,streetwear,0.37,0.81,0.81,0.63,average
O00972,linen shirt,chinos,loafers,brown,green,navy,slim,tailored,tailored,casual,0.68,0.78,0.94,0.79,good
O00973,white tee,jeans,sandals,blue,green,white,regular,slim,regular,streetwear,0.31,0.57,0.41,0.42,bad
O00974,sweater,skirt,sneakers,blue,brown,gray,baggy,slim,tailored,streetwear,0.35,0.64,0.61,0.51,bad
O00975,denim jacket,trousers,sandals,brown,gray,beige,baggy,regular,oversized,minimal,0.78,0.47,0.64,0.65,average
O00976,denim jacket,shorts,loafers,white,green,green,slim,oversized,baggy,streetwear,0.88,0.83,0.6,0.78,good
O00977,tank top,track pants,boots,green,green,gray,regular,slim,slim,sport,0.72,0.54,0.76,0.68,average
O00978,turtleneck,cargo pants,sandals,navy,beige,brown,oversized,regular,regular,streetwear,0.51,0.48,0.72,0.56,average
O00979,turtleneck,track pants,sneakers,gray,beige,red,slim,slim,slim,streetwear,0.81,0.57,0.49,0.64,average
O00980,graphic tee,track pants,oxfords,navy,gray,navy,oversized,baggy,baggy,sport,0.42,0.77,0.56,0.57,average
O00981,black hoodie,trousers,heels,beige,green,brown,slim,slim,regular,sport,0.64,0.95,0.84,0.79,good
O00982,turtleneck,jeans,heels,red,navy,white,regular,regular,tailored,business,0.39,0.52,0.64,0.5,bad
O00983,sweater,track pants,heels,navy,black,gray,tailored,regular,oversized,streetwear,0.87,0.44,0.57,0.65,average
O00984,flannel,jeans,heels,red,navy,green,regular,regular,tailored,streetwear,0.72,0.41,0.87,0.67,average
O00985,navy blazer,jeans,loafers,navy,blue,green,tailored,tailored,regular,business,0.32,0.69,0.7,0.54,bad
O00986,linen shirt,trousers,sandals,blue,black,black,baggy,oversized,slim,minimal,0.86,0.6,0.58,0.7,average
O00987,turtleneck,chinos,sandals,navy,black,red,oversized,tailored,tailored,casual,0.42,0.44,0.68,0.5,bad
O00988,tank top,trousers,sneakers,gray,gray,black,baggy,tailored,regular,streetwear,0.71,0.85,0.67,0.74,good
O00989,denim jacket,track pants,oxfords,beige,navy,green,tailored,baggy,regular,streetwear,0.72,0.71,0.86,0.76,good
O00990,graphic tee,track pants,sandals,beige,green,gray,tailored,oversized,oversized,casual,0.93,0.68,0.7,0.79,good
O00991,graphic tee,skirt,loafers,green,white,black,tailored,tailored,tailored,casual,0.62,0.72,0.87,0.72,average
O00992,white tee,trousers,sandals,white,black,red,regular,slim,tailored,casual,0.67,0.5,0.64,0.61,average
O00993,linen shirt,trousers,oxfords,white,white,blue,baggy,tailored,tailored,casual,0.66,0.95,0.6,0.73,good
O00994,white tee,chinos,heels,green,green,gray,slim,tailored,tailored,casual,0.5,0.44,0.63,0.52,bad
O00995,denim jacket,trousers,sandals,black,white,green,oversized,tailored,tailored,minimal,0.95,0.48,0.88,0.79,good
O00996,denim jacket,track pants,oxfords,brown,beige,navy,baggy,slim,baggy,sport,0.72,0.63,0.51,0.63,average
O00997,white tee,jeans,boots,black,brown,red,baggy,regular,regular,minimal,0.77,0.74,0.93,0.81,good
O00998,turtleneck,skirt,loafers,green,brown,blue,slim,baggy,baggy,casual,0.43,0.81,0.43,0.54,bad
O00999,navy blazer,jeans,heels,brown,gray,beige,regular,oversized,oversized,sport,0.36,0.45,0.42,0.41,bad
O01000,flannel,trousers,loafers,brown,blue,navy,slim,oversized,regular,business,0.52,0.7,0.71,0.63,average
O01001,navy blazer,chinos,heels,green,white,green,tailored,baggy,tailored,minimal,0.48,0.9,0.54,0.62,average
O01002,linen shirt,cargo pants,sneakers,green,brown,blue,regular,oversized,slim,minimal,0.77,0.83,0.68,0.76,good
O01003,sweater,skirt,sneakers,green,navy,brown,regular,slim,baggy,minimal,0.33,0.47,0.9,0.54,bad
O01004,black hoodie,chinos,loafers,beige,gray,white,baggy,oversized,oversized,minimal,0.7,0.88,0.63,0.73,good
O01005,black hoodie,chinos,oxfords,red,brown,gray,tailored,oversized,oversized,business,0.33,0.94,0.74,0.64,average
O01006,denim jacket,trousers,sneakers,green,green,brown,baggy,baggy,oversized,minimal,0.73,0.88,0.93,0.84,good
O01007,flannel,trousers,oxfords,blue,brown,green,regular,baggy,tailored,business,0.84,0.72,0.57,0.72,average
O01008,polo,shorts,heels,black,green,red,slim,oversized,tailored,casual,0.82,0.67,0.82,0.78,good
O01009,navy blazer,trousers,heels,green,white,beige,baggy,oversized,regular,business,0.37,0.64,0.82,0.59,average
O01010,black hoodie,shorts,loafers,black,black,navy,oversized,regular,baggy,streetwear,0.47,0.88,0.63,0.64,average
O01011,graphic tee,cargo pants,boots,gray,black,navy,tailored,tailored,tailored,sport,0.78,0.5,0.98,0.76,good
O01012,navy blazer,jeans,boots,green,black,green,oversized,baggy,baggy,business,0.46,0.42,0.76,0.54,bad
O01013,linen shirt,skirt,loafers,navy,navy,blue,slim,slim,baggy,casual,0.5,0.89,0.56,0.64,average
O01014,linen shirt,chinos,boots,green,navy,brown,tailored,tailored,tailored,sport,0.5,0.65,0.76,0.62,average
O01015,turtleneck,chinos,heels,white,navy,white,regular,regular,oversized,business,0.66,0.84,0.55,0.68,average
O01016,polo,skirt,oxfords,white,brown,black,baggy,slim,regular,streetwear,0.7,0.74,0.78,0.74,good
O01017,black hoodie,track pants,boots,brown,gray,beige,tailored,regular,slim,minimal,0.88,0.7,0.92,0.84,good
O01018,sweater,track pants,heels,navy,red,navy,baggy,tailored,regular,minimal,0.75,0.73,0.47,0.66,average
O01019,tank top,trousers,sneakers,beige,black,beige,oversized,slim,tailored,minimal,0.69,0.66,0.65,0.67,average
O01020,black hoodie,jeans,sandals,red,gray,green,slim,tailored,slim,streetwear,0.57,0.83,0.78,0.71,average
O01021,turtleneck,skirt,loafers,navy,red,navy,slim,oversized,slim,minimal,0.35,0.68,0.86,0.6,average
O01022,graphic tee,cargo pants,heels,beige,gray,beige,tailored,tailored,slim,minimal,0.67,0.72,0.71,0.7,average
O01023,sweater,cargo pants,loafers,red,red,black,tailored,slim,baggy,business,0.86,0.95,0.9,0.9,good
O01024,white tee,chinos,loafers,gray,black,beige,regular,slim,oversized,minimal,0.62,0.73,0.57,0.64,average
O01025,black hoodie,shorts,sandals,navy,white,gray,tailored,oversized,tailored,casual,0.53,0.49,0.59,0.54,bad
O01026,linen shirt,chinos,sneakers,beige,beige,beige,oversized,slim,regular,streetwear,0.75,0.58,0.42,0.6,average
O01027,turtleneck,trousers,sandals,white,gray,beige,tailored,regular,tailored,business,0.82,0.68,0.79,0.77,good
O01028,navy blazer,trousers,sneakers,gray,navy,navy,tailored,tailored,baggy,minimal,0.71,0.91,0.73,0.78,good
O01029,flannel,chinos,sneakers,black,red,white,baggy,tailored,oversized,sport,0.51,0.64,0.4,0.52,bad
O01030,flannel,jeans,sandals,navy,green,red,baggy,slim,baggy,sport,0.36,0.74,0.83,0.61,average
O01031,turtleneck,track pants,sandals,beige,beige,navy,tailored,tailored,slim,casual,0.79,0.92,0.46,0.73,good
O01032,turtleneck,skirt,loafers,green,red,gray,slim,tailored,oversized,minimal,0.8,0.94,0.44,0.73,good
O01033,denim jacket,shorts,loafers,white,blue,green,oversized,slim,oversized,casual,0.45,0.62,0.49,0.51,bad
O01034,sweater,trousers,loafers,blue,green,green,baggy,slim,regular,minimal,0.72,0.89,0.56,0.72,average
O01035,sweater,trousers,oxfords,red,red,gray,slim,regular,baggy,streetwear,0.61,0.71,0.91,0.73,good
O01036,polo,jeans,sandals,red,beige,blue,tailored,regular,oversized,casual,0.54,0.56,0.49,0.53,bad
O01037,black hoodie,cargo pants,sandals,beige,navy,green,regular,baggy,baggy,business,0.62,0.66,0.43,0.57,average
O01038,turtleneck,skirt,boots,green,black,green,slim,regular,oversized,minimal,0.44,0.77,0.41,0.53,bad
O01039,navy blazer,trousers,oxfords,black,blue,blue,regular,tailored,baggy,business,0.61,0.84,0.78,0.73,good
O01040,graphic tee,cargo pants,sandals,white,navy,white,tailored,slim,regular,sport,0.75,0.79,0.46,0.68,average
O01041,polo,trousers,oxfords,white,gray,white,baggy,slim,tailored,streetwear,0.76,0.67,0.65,0.7,average
O01042,flannel,shorts,sneakers,navy,gray,brown,baggy,regular,slim,minimal,0.77,0.52,0.84,0.72,average
O01043,white tee,shorts,heels,beige,black,black,tailored,regular,slim,casual,0.55,0.78,0.59,0.63,average
O01044,polo,trousers,oxfords,green,blue,gray,baggy,slim,tailored,business,0.7,0.82,0.49,0.67,average
O01045,turtleneck,skirt,oxfords,beige,blue,red,tailored,tailored,oversized,minimal,0.69,0.74,0.7,0.71,average
O01046,sweater,shorts,sneakers,navy,blue,navy,tailored,regular,baggy,sport,0.39,0.56,0.83,0.57,average
O01047,graphic tee,track pants,loafers,gray,navy,white,slim,baggy,slim,streetwear,0.52,0.87,0.66,0.67,average
O01048,graphic tee,track pants,heels,red,green,gray,oversized,regular,oversized,casual,0.78,0.7,0.87,0.78,good
O01049,tank top,skirt,sandals,gray,brown,green,oversized,oversized,tailored,casual,0.5,0.65,0.41,0.52,bad
O01050,flannel,shorts,sneakers,black,brown,gray,regular,tailored,regular,business,0.53,0.8,0.88,0.72,average
O01051,white tee,track pants,heels,beige,gray,beige,regular,oversized,tailored,business,0.34,0.76,0.92,0.64,average
O01052,graphic tee,cargo pants,boots,white,gray,red,slim,baggy,oversized,streetwear,0.36,0.67,0.41,0.47,bad
O01053,navy blazer,track pants,loafers,white,blue,navy,baggy,baggy,baggy,business,0.8,0.53,0.71,0.69,average
O01054,navy blazer,skirt,oxfords,brown,black,navy,regular,regular,oversized,streetwear,0.63,0.82,0.6,0.68,average
O01055,tank top,shorts,boots,green,blue,black,slim,baggy,oversized,casual,0.79,0.52,0.49,0.62,average
O01056,flannel,track pants,boots,black,blue,green,slim,baggy,slim,streetwear,0.72,0.92,0.69,0.77,good
O01057,flannel,trousers,sneakers,gray,beige,red,regular,slim,baggy,business,0.77,0.85,0.85,0.82,good
O01058,tank top,shorts,heels,white,beige,red,oversized,oversized,oversized,minimal,0.76,0.49,0.94,0.73,good
O01059,tank top,jeans,heels,black,red,navy,slim,oversized,slim,casual,0.69,0.83,0.92,0.8,good
O01060,white tee,track pants,oxfords,red,gray,blue,baggy,slim,baggy,minimal,0.58,0.65,0.5,0.58,average
O01061,denim jacket,chinos,oxfords,brown,gray,navy,slim,regular,slim,business,0.91,0.49,0.56,0.68,average
O01062,linen shirt,track pants,sandals,gray,gray,black,tailored,tailored,regular,business,0.8,0.48,0.79,0.7,average
O01063,sweater,skirt,sandals,white,navy,green,oversized,tailored,regular,sport,0.43,0.85,0.54,0.59,average
O01064,turtleneck,jeans,sneakers,white,brown,blue,slim,slim,baggy,sport,0.9,0.47,0.52,0.66,average
O01065,graphic tee,skirt,sneakers,red,red,black,oversized,tailored,tailored,streetwear,0.73,0.68,0.59,0.67,average
O01066,black hoodie,shorts,heels,red,brown,red,slim,oversized,baggy,casual,0.81,0.93,0.87,0.86,good
O01067,denim jacket,cargo pants,heels,navy,gray,black,regular,oversized,slim,business,0.75,0.45,0.64,0.63,average
O01068,black hoodie,cargo pants,boots,red,beige,white,tailored,regular,tailored,casual,0.92,0.66,0.9,0.84,good
O01069,flannel,shorts,heels,white,black,white,oversized,slim,tailored,streetwear,0.66,0.55,0.68,0.63,average
O01070,sweater,skirt,heels,white,navy,green,regular,slim,baggy,business,0.45,0.48,0.57,0.49,bad
O01071,polo,cargo pants,heels,navy,red,white,baggy,oversized,oversized,sport,0.6,0.83,0.78,0.72,average
O01072,black hoodie,track pants,sneakers,white,black,beige,oversized,baggy,baggy,streetwear,0.71,0.75,0.81,0.75,good
O01073,tank top,cargo pants,boots,blue,navy,black,regular,regular,baggy,casual,0.82,0.75,0.8,0.79,good
O01074,graphic tee,trousers,sneakers,black,beige,brown,oversized,tailored,oversized,casual,0.66,0.43,0.79,0.63,average
O01075,turtleneck,shorts,oxfords,blue,green,blue,baggy,baggy,baggy,streetwear,0.47,0.69,0.94,0.68,average
O01076,black hoodie,chinos,sandals,white,brown,white,baggy,regular,slim,business,0.42,0.4,0.81,0.53,bad
O01077,black hoodie,chinos,sandals,gray,red,white,tailored,regular,regular,business,0.5,0.72,0.44,0.55,bad
O01078,linen shirt,chinos,heels,beige,black,blue,oversized,regular,slim,minimal,0.79,0.6,0.57,0.67,average
O01079,denim jacket,trousers,sandals,blue,brown,blue,tailored,baggy,slim,casual,0.69,0.87,0.74,0.76,good
O01080,black hoodie,shorts,heels,gray,beige,green,slim,oversized,slim,casual,0.94,0.83,0.41,0.75,good
O01081,white tee,shorts,boots,red,navy,green,tailored,oversized,baggy,streetwear,0.45,0.8,0.43,0.55,bad
O01082,graphic tee,shorts,boots,green,green,red,slim,baggy,tailored,sport,0.81,0.84,0.47,0.72,average
O01083,sweater,skirt,heels,brown,navy,blue,tailored,tailored,oversized,sport,0.76,0.48,0.55,0.61,average
O01084,black hoodie,cargo pants,boots,beige,blue,black,oversized,tailored,slim,streetwear,0.33,0.49,0.71,0.49,bad
O01085,navy blazer,skirt,heels,gray,beige,green,tailored,slim,regular,casual,0.32,0.88,0.63,0.58,average
